Date,Value
1960,null
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,2196027769
1971,2419452685
1972,2671171407
1973,2761258308
1974,3305257925
1975,4170679936
1976,6039460845
1977,8183427508
1978,10772164769
1979,13281603751
1980,17417202375
1981,20785921054
1982,24412638706
1983,24211103887
1984,24356701585
1985,26637306936
1986,28204156851
1987,29784762859
1988,28932152203
1989,28652845075
1990,30579850827
1991,32493338656
1992,33219038810
1993,36142381235
1994,40253267304
1995,39374934205
1996,43997124268
1997,50702236609
1998,53593376356
1999,58470127808
2000,58445298798
2001,58391331922
2002,60054060380
2003,62754158524
2004,61142718543
2005,58687841834
2006,57591538398
2007,59170382966
2008,58261783058
2009,55976153264
2010,65349886588
2011,66105387849
2012,69363025733
2013,66191184712
2014,77168094842
2015,76269543902
2016,74750940393
2017,73105675383
2018,78967285430
2019,83625343901
2020,98493687903
2021,1.06428E+11
2022,null
2023,null
