,,Data From World Bank
,,"This data was curated, processed, and published by StatRealm on:"
,,https://statrealm.com/source/economy/total-debt-service-percent-of-gni/PHL
,,Philippines
,
,
Date,Value
1960,null
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,4.14495339871818
1971,4.14958010612661
1972,4.15588896205881
1973,4.9842666657795
1974,3.22110624767286
1975,2.72801955324027
1976,2.98700212138913
1977,2.99621324526519
1978,5.38985553358429
1979,5.10959872990346
1980,5.99434827937064
1981,7.43141593900665
1982,8.53519049803777
1983,8.20556201720658
1984,7.89155184058189
1985,7.53227094734933
1986,9.06509955984449
1987,9.23199228388973
1988,8.1186020571015
1989,6.89894507167107
1990,7.21370445933255
1991,6.58877439429111
1992,7.05563452683503
1993,7.81403283038339
1994,6.19270463712183
1995,6.1667474429762
1996,5.48437920847224
1997,4.61026475997189
1998,5.60046402660871
1999,6.07809035984661
2000,7.71764734320528
2001,10.8308820619147
2002,11.0501923157398
2003,10.7114529361115
2004,11.0546134257019
2005,8.0808641474636
2006,9.48218407250608
2007,4.88153456743022
2008,5.23303335705246
2009,4.57954416999311
2010,4.94536454473908
2011,3.66520188707024
2012,1.96278902207534
2013,1.85319669003825
2014,2.27191875428976
2015,3.09756828047458
2016,3.10552499124574
2017,3.0730992894591
2018,2.29581903254568
2019,2.56086912479598
2020,2.40749645423452
2021,2.99253248654208
2022,null
2023,null
