DATE,FPCPITOTLZGPHL
1960-01-01,4.15482177982161
1961-01-01,1.59563300452722
1962-01-01,5.79665220101376
1963-01-01,5.62554937008824
1964-01-01,8.1830790570033
1965-01-01,2.56410256428449
1966-01-01,5.39999999968075
1967-01-01,6.25395319397734
1968-01-01,2.35880645890594
1969-01-01,1.95551032285384
1970-01-01,14.3814616757328
1971-01-01,21.4033435366143
1972-01-01,8.20403413498834
1973-01-01,16.5800322638464
1974-01-01,34.1635916359165
1975-01-01,6.76140270456077
1976-01-01,9.19922713611011
1977-01-01,9.89875159736566
1978-01-01,7.33452593917692
1979-01-01,17.5333333327502
1980-01-01,18.2005104938509
1981-01-01,13.0825985241676
1982-01-01,10.2217271376892
1983-01-01,10.0293565620481
1984-01-01,50.3389756374498
1985-01-01,23.1031071803888
1986-01-01,1.14813777653338
1987-01-01,4.06976744186024
1988-01-01,13.8600691673319
1989-01-01,12.2429906542055
1990-01-01,12.1773522064946
1991-01-01,19.2614585266282
1992-01-01,8.65100357865265
1993-01-01,6.71631104109973
1994-01-01,10.3864734299517
1995-01-01,6.83199610989534
1996-01-01,7.4761037778791
1997-01-01,5.59025939650601
1998-01-01,9.23493432267121
1999-01-01,5.93904901780808
2000-01-01,3.9771250324928
2001-01-01,5.34550195567142
2002-01-01,2.72277227722765
2003-01-01,2.28915662650607
2004-01-01,4.82921083627795
2005-01-01,6.51685393258433
2006-01-01,5.4852320675105
2007-01-01,2.90000000000003
2008-01-01,8.26044703595725
2009-01-01,4.21903052064628
2010-01-01,3.78983634797591
2011-01-01,4.7184170471842
2012-01-01,3.02696391124796
2013-01-01,2.58268766141795
2014-01-01,3.59782343864211
2015-01-01,0.674192536845408
2016-01-01,1.25369880080982
2017-01-01,2.85318772590947
2018-01-01,5.30934661627707
2019-01-01,2.39206534422404
2020-01-01,2.3931623931624
2021-01-01,3.92718022100332
2022-01-01,5.82115811213955
